date,team,opp,tBPI,oBPI,tScore,oScore,tWin,bpiPred,dailyPred,upset,upsetPred,tRP,oRP
2015-01-12,Lyndon State,Brown,0,41.2,42,88,0,,,,,,
2015-01-12,Monmouth,Rider,52.7,51.8,55,54,1,,,,,,
2015-01-12,Lamar,Texas A&M-Corpus Christi,36,31.5,66,64,1,,,,,,
2015-01-12,Delaware State,Howard,39.4,35.2,79,76,1,,,,,,
2015-01-12,Norfolk State,Bethune-Cookman,52.9,21.7,79,55,1,,,,,,
2015-01-12,Maryland-Eastern Shore,Morgan State,48.1,24,78,53,1,,,,,,
2015-01-12,South Carolina State,North Carolina A&T,26,25.6,52,50,1,,,,,,
2015-01-12,Savannah State,North Carolina Central,25.2,61.7,40,58,0,,,,,,
2015-01-12,Coastal Carolina,Campbell,62.7,41.6,70,67,1,,,,,,
2015-01-12,Texas-San Antonio,Texas-Pan American,41.6,26.7,68,43,1,,,,,,
2015-01-12,Sam Houston State,Southeastern Louisiana,66.4,37.9,72,59,1,,,,,,
2015-01-12,New Orleans,Incarnate Word,34.3,53.3,66,97,0,,,,,,
2015-01-12,Hampton,Florida A&M,34.3,8.1,78,63,1,,,,,,
2015-01-12,Alcorn State,Grambling,16.1,14.4,72,70,1,,,,,,
2015-01-12,Southern,Jackson State,36.7,30.3,60,52,1,,,,,,
2015-01-12,Alabama A&M,Arkansas-Pine Bluff,27.2,23.4,51,48,1,,,,,,
2015-01-12,Alabama State,Mississippi Valley State,43.7,14.8,88,76,1,,,,,,
2015-01-13,Penn St.,Indiana,62.6,74.7,73,76,0,,,,,,
2015-01-13,Fairfield,Iona,36.2,68.8,58,74,0,,,,,,
2015-01-13,Oklahoma St., Kansas,78.9,86.6,57,67,0,,,,,,
2015-01-13,Virginia Tech, Louisville,54.6,87.4,63,78,0,,,,,,
2015-01-13,Mass-Lowell,Maine,39,19.2,62,59,1,,,,,,
2015-01-13,Pennsylvania,Niagara,35.5,32.1,67,56,1,,,,,,
2015-01-13,Michigan,Ohio St.,68.4,85.8,52,71,0,,,,,,
2015-01-13,Butler, Seton Hall,79.4,80.8,79,75,1,,,,,,
2015-01-13,Arkansas,Tennessee,82.3,66.7,69,74,0,,,,,,
2015-01-13,Oklahoma, West Virginia,84.9,88.2,65,86,0,,,,,,
2015-01-13,Houston Baptist,Nicholls,34.4,20.7,57,61,0,,,,,,
2015-01-13,Abilene Christian,N'western St.,35.5,44.4,95,81,1,,,,,,
