ESPN,Yahoo
Abilene Christian,Abilene Christian
Air Force,Air Force
Akron,Akron
Alabama,Alabama
Alabama A&M,Alabama A&M
Alabama State,Alabama St.
Albany,Albany
Alcorn State,Alcorn St.
American U,American
Appalachian St,Appalachian St.
Arizona,Arizona
Arizona State,Arizona St.
Arkansas,Arkansas
Arkansas State,Arkansas St.
AR-Little Rock,AR Little Rock
Army,Army
AR-Pine Bluff,AR Pine Bluff
Auburn,Auburn
Austin Peay,Austin Peay
Ball State,Ball St.
Baylor,Baylor
Belmont,Belmont
Bethune-Cookman,Bethune-Cookman
Binghamton,Binghamton
Boise State,Boise St.
Boston College,Boston Coll.
Boston U,Boston U.
Bowling Green,Bowling Green
Bradley,Bradley
Brown,Brown
Bryant,Bryant
Bucknell,Bucknell
Buffalo,Buffalo
Butler,Butler
BYU,BYU
Cal Poly,Cal Poly
California,California
Campbell,Campbell
Canisius,Canisius
Cent Arkansas,Central Arkansas
Cent Conn St,Central Conn. St.
Cent Michigan,Cent. Michigan
Charl Southern,Charleston Sou.
Charleston,Charleston
Charlotte,Charlotte
Chattanooga,Chattanooga
Chicago State,Chicago St.
Cincinnati,Cincinnati
Clemson,Clemson
Cleveland State,Cleveland St.
Coast Carolina,Coastal Car.
Colgate,Colgate
Colorado,Colorado
Colorado State,Colorado St.
Columbia,Columbia
Connecticut,Connecticut
Coppin State,Coppin St.
Cornell,Cornell
Creighton,Creighton
CS Fullerton,CSU Fullerton
CS Northridge,CSU Northridge
CSU Bakersfield,CSU Bakersfield
Dartmouth,Dartmouth
Davidson,Davidson
Dayton,Dayton
Delaware,Delaware
Delaware State,Delaware St.
Denver,Denver
DePaul,DePaul
Detroit,Detroit
Drake,Drake
Drexel,Drexel
Duke,Duke
Duquesne,Duquesne
E Illinois,Eastern Illinois
E Kentucky,E. Kentucky
E Michigan,East. Michigan
E Washington,Eastern Wash.
East Carolina,East Carolina
East Tenn St,E. Tennessee St.
Elon,Elon
Evansville,Evansville
Fair Dickinson,Fair. Dickinson
Fairfield,Fairfield
FGCU,Fla Gulf Coast
FIU,Florida Intl.
Florida,Florida
Florida A&M,Florida A&M
Florida Atl,Florida Atlantic
Florida St,Florida St.
Fordham,Fordham
Fresno State,Fresno St.
Furman,Furman
G. Washington,Geo. Wash.
Ga. Southern,Georgia Southern
Gardner-Webb,Gardner-Webb
George Mason,George Mason
Georgetown,Georgetown
Georgia,Georgia
Georgia State,Georgia St.
Georgia Tech,Georgia Tech
Gonzaga,Gonzaga
Grambling St,Grambling St.
Grand Canyon,Grand Canyon
Green Bay,Green Bay
Hampton,Hampton
Hartford,Hartford
Harvard,Harvard
Hawaii,Hawaii
High Point,High Point
Hofstra,Hofstra
Holy Cross,Holy Cross
Houston,Houston
Houston Baptist,Houston Baptist
Howard,Howard
Idaho,Idaho
Idaho State,Idaho St.
Illinois,Illinois
Illinois State,Illinois St.
Incarnate Word,Incarnate Word
Indiana,Indiana
Indiana State,Indiana St.
Iona,Iona
Iowa,Iowa
Iowa State,Iowa St.
IPFW,IPFW
IUPUI,IUPUI
Jackson State,Jackson St.
Jacksonville,Jacksonville
Jacksonville St,Jacksonville St.
James Madison,James Madison
Kansas,Kansas
Kansas St,Kansas St.
Kennesaw St,Kennesaw St.
Kent State,Kent St.
Kentucky,Kentucky
La Salle,La Salle
Lafayette,Lafayette
LA-Lafayette,La Lafayet.
Lamar,Lamar
Lehigh,Lehigh
Liberty,Liberty
Lipscomb,Lipscomb
LIU Brooklyn,LIU Brooklyn
Long Beach St,Long Beach St.
Longwood,Longwood
Louisiana Tech,Louisiana Tech
Louisville,Louisville
Loyola (IL),Loyola Chicago
Loyola (MD),Loyola (MD)
Loyola Mary,Loyola Marymount
LSU,LSU
Maine,Maine
Manhattan,Manhattan
Marist,Marist
Marquette,Marquette
Marshall,Marshall
Maryland,Maryland
Massachusetts,UMass
McNeese State,McNeese St.
MD-E Shore,MD Eastern Shore
Memphis,Memphis
Mercer,Mercer
Miami (FL),Miami (FL)
Miami (OH),Miami (OH)
Michigan,Michigan
Michigan State,Michigan St.
Middle Tennessee,Middle Tenn. St.
Milwaukee,Milwaukee
Minnesota,Minnesota
Miss Valley St,Miss. Valley St.
Mississippi St,Mississippi St.
Missouri,Missouri
Missouri State,Missouri St.
Monmouth,Monmouth
Montana,Montana
Montana State,Montana St.
Morehead State,Morehead St.
Morgan State,Morgan St.
